epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,7871.98,1.34716,3.20261,1.28529,0.77063,0.63954,0.72098,0.44356,1.43238,3.27346,1.34867,0.000715761,0.000715761,0.000715761
56,8013.89,1.343,3.18967,1.28297,0.74855,0.66648,0.73227,0.44049,1.4392,3.26091,1.3561,0.000706335,0.000706335,0.000706335
57,8155.82,1.33773,3.16003,1.28167,0.76862,0.6733,0.72848,0.44216,1.43586,3.25021,1.35457,0.00069682,0.00069682,0.00069682
58,8297.7,1.35341,3.16644,1.28594,0.76195,0.6659,0.72819,0.4362,1.43826,3.29763,1.36125,0.000687222,0.000687222,0.000687222
59,8439.27,1.32942,3.1113,1.27178,0.74951,0.67301,0.72634,0.43928,1.45022,3.2637,1.3671,0.000677543,0.000677543,0.000677543
60,8581.3,1.3352,3.12891,1.28032,0.76896,0.6572,0.73541,0.4454,1.45632,3.18148,1.3735,0.000667789,0.000667789,0.000667789
61,8723.2,1.3119,3.06104,1.26404,0.74989,0.68656,0.74107,0.44323,1.45032,3.20275,1.36122,0.000657963,0.000657963,0.000657963
62,8865.03,1.32326,3.04421,1.27265,0.80518,0.65168,0.73589,0.43896,1.47077,3.33411,1.36981,0.000648071,0.000648071,0.000648071
63,9007.12,1.306,3.01897,1.2659,0.80104,0.6634,0.73499,0.44575,1.45066,3.19433,1.36874,0.000638115,0.000638115,0.000638115
64,9148.98,1.31092,2.98357,1.26459,0.79095,0.67474,0.73512,0.44744,1.44864,3.20098,1.35516,0.000628101,0.000628101,0.000628101
65,9291.19,1.30478,2.98963,1.25812,0.80544,0.6436,0.73034,0.44974,1.4291,3.23334,1.34219,0.000618034,0.000618034,0.000618034
66,9433.23,1.29533,2.94745,1.25479,0.76884,0.6711,0.7332,0.44988,1.4398,3.21503,1.35027,0.000607916,0.000607916,0.000607916
67,9575.21,1.29513,2.92495,1.25353,0.78931,0.64667,0.73223,0.44919,1.43959,3.20325,1.3445,0.000597754,0.000597754,0.000597754
68,9717.2,1.29399,2.90488,1.248,0.76742,0.68224,0.73822,0.45445,1.43442,3.09116,1.34202,0.000587551,0.000587551,0.000587551
69,9858.96,1.29813,2.92629,1.25463,0.77808,0.66415,0.73264,0.45159,1.43796,3.17164,1.35181,0.000577311,0.000577311,0.000577311
70,10000.8,1.27845,2.84064,1.24162,0.81595,0.66217,0.7392,0.45308,1.43219,3.17013,1.35497,0.00056704,0.00056704,0.00056704
71,10142.9,1.27349,2.83123,1.2367,0.79025,0.66042,0.74004,0.45318,1.43534,3.15968,1.35066,0.000556742,0.000556742,0.000556742
72,10284.8,1.26242,2.77926,1.235,0.80627,0.6658,0.73696,0.4549,1.42662,3.14438,1.34637,0.000546421,0.000546421,0.000546421
73,10427.1,1.27423,2.8126,1.23428,0.78485,0.68234,0.73725,0.45373,1.42453,3.08312,1.33428,0.000536081,0.000536081,0.000536081
74,10568.7,1.26713,2.79816,1.23791,0.80185,0.66225,0.73954,0.45532,1.43073,3.14838,1.3445,0.000525728,0.000525728,0.000525728
75,10710.8,1.24314,2.72433,1.21843,0.77702,0.68315,0.7431,0.45006,1.43342,3.15658,1.34614,0.000515366,0.000515366,0.000515366
76,10852.8,1.23498,2.69498,1.21226,0.81923,0.66805,0.74602,0.45417,1.4233,3.16363,1.33516,0.000505,0.000505,0.000505
77,10994.6,1.24862,2.7506,1.21594,0.79487,0.67159,0.74338,0.45748,1.42088,3.14434,1.33836,0.000494634,0.000494634,0.000494634
78,11136.6,1.23538,2.68785,1.21081,0.78976,0.68198,0.74396,0.46012,1.42807,3.16693,1.34269,0.000484272,0.000484272,0.000484272
79,11278.6,1.21666,2.64143,1.20678,0.76941,0.68195,0.74002,0.45274,1.43352,3.17091,1.34349,0.000473919,0.000473919,0.000473919
80,11420.3,1.23853,2.67869,1.21375,0.79598,0.68061,0.74786,0.45906,1.43575,3.1063,1.34352,0.000463579,0.000463579,0.000463579
81,11562,1.21181,2.61274,1.20956,0.80383,0.69022,0.74769,0.45798,1.42445,3.10384,1.33704,0.000453258,0.000453258,0.000453258
82,11704.1,1.21471,2.60291,1.20452,0.7908,0.67648,0.74433,0.45823,1.4267,3.12632,1.33741,0.00044296,0.00044296,0.00044296
83,11845.9,1.21075,2.58383,1.20129,0.77402,0.67724,0.73968,0.45599,1.43252,3.16166,1.34148,0.000432689,0.000432689,0.000432689
84,11987.6,1.20032,2.56456,1.19139,0.7963,0.68695,0.74814,0.45974,1.4232,3.10942,1.33192,0.000422449,0.000422449,0.000422449
85,12129.4,1.20236,2.57232,1.19247,0.76422,0.70636,0.74771,0.45914,1.43435,3.12067,1.33864,0.000412246,0.000412246,0.000412246
86,12271.2,1.18982,2.50991,1.18906,0.78502,0.69541,0.74475,0.45693,1.42555,3.14262,1.33475,0.000402084,0.000402084,0.000402084
87,12412.9,1.194,2.52816,1.19287,0.78648,0.68493,0.74138,0.45589,1.42471,3.13966,1.33253,0.000391966,0.000391966,0.000391966
88,12554.7,1.19174,2.50915,1.18938,0.79234,0.69746,0.74784,0.45821,1.42971,3.13949,1.33629,0.000381899,0.000381899,0.000381899
